transaction_id,transaction_date,transaction_time,sender_account_id,sender_company,sender_bank,receiver_account_id,receiver_company,receiver_bank,amount_idr,transaction_type,transaction_purpose,risk_score,is_flagged,is_cross_border,reference_number,processing_bank,case_related,scenario
TXN_000001,2025-03-11,03:19:36,ACC_1000092,PT. SURYA MAS CITRA PERKASA,OCBC NISP,ACC_1000010,PT. Imperindo Hasta Eka,Danamon,380535670,structuring,Transfer modal kerja,98,True,False,REF913206,Mandiri,False,background
TXN_000002,2023-06-01,00:37:22,ACC_1000335,PT GEMILANG ABADI,OCBC NISP,ACC_1000129,PT. RIMBA SAWIT UTAMA PLANINDO,Mandiri,3167868815,integration,Investasi bisnis,87,True,False,REF257027,BNI,False,background
TXN_000007,2025-03-19,10:40:43,ACC_1000080,PT. AGRO CITY KALTIM,CIMB Niaga,ACC_1000167,PT. Kaliau Mas Perkasa,BCA,6852365500,placement,Setoran modal,100,True,False,REF968190,BCA,False,background
TXN_000011,2025-05-13,11:46:19,ACC_1000147,PT. Damit Mitra Sekawan,Permata,ACC_1000392,PT HARAPAN BARU,OCBC NISP,1053359068,layering,Transfer antar perusahaan,100,True,False,REF860629,Mandiri,False,background
TXN_000013,2023-10-20,12:47:22,ACC_1000292,PT LESTARI MANDIRI,BNI,ACC_1000041,PT. Uni Andalan Utama,Permata,353748103,structuring,Transfer modal kerja,92,True,False,REF195917,Mandiri,False,background
TXN_000014,2025-03-20,22:18:11,ACC_1000445,PT HARAPAN BARU,OCBC NISP,ACC_1000111,PT. PULANG PISAU PERDANA,BCA,4863297402,placement,Setoran modal,100,True,False,REF286873,BNI,False,background
TXN_000016,2025-01-07,01:44:26,ACC_1000081,PT. AGRO CITY KALTIM,Maybank,ACC_1000193,PT. Jalin Vaneo,BRI,4865285682,integration,Investasi bisnis,98,True,False,REF279537,Mandiri,False,background
TXN_000018,2024-05-19,04:49:24,ACC_1000411,CV KARYA UTAMA,Danamon,ACC_1000134,PT. BORNEO EKA SAWIT TANGGUH,BCA,1853118594,integration,Investasi bisnis,90,True,False,REF760668,Mandiri,False,background
TXN_000029,2024-06-16,03:56:48,ACC_1000139,PT. Malindo Jaya Diraja,Maybank,ACC_1000077,PTPN XIII,CIMB Niaga,6138556423,placement,Setoran modal,93,True,False,REF338003,BCA,False,background
TXN_000034,2025-05-09,16:16:10,ACC_1000043,PT. Manggala Dharma Putra,Mandiri,ACC_1000419,CV JAYA MAKMUR,Permata,1141031681,layering,Transfer antar perusahaan,94,True,False,REF314849,Mandiri,False,background
TXN_000035,2025-04-05,07:23:57,ACC_1000292,PT LESTARI MANDIRI,BNI,ACC_1000370,CV EMAS KENCANA,BNI,3754824542,placement,Setoran modal,100,True,False,REF355765,BRI,False,background
TXN_000036,2025-05-15,17:36:07,ACC_1000253,PTGUNUNG SYNAJI,Permata,ACC_1000029,PT. Sawit Sukses Sejahtera,BTN,5301314595,placement,Setoran modal,100,True,False,REF940852,BRI,False,background
TXN_000039,2024-01-15,09:04:43,ACC_1000202,PT. Buana Tunas Sejahtera,Danamon,ACC_1000077,PTPN XIII,CIMB Niaga,8540563148,placement,Setoran modal,86,True,True,REF476625,BNI,False,background
TXN_000040,2023-07-06,05:26:01,ACC_1000097,PT. BERKAH ALAM FAJAR MAS,CIMB Niaga,ACC_1000123,PT. GLOBALINDO AGUNG LESTARI,OCBC NISP,705809273,layering,Transfer antar perusahaan,76,True,False,REF641132,BRI,False,background
TXN_000042,2024-06-25,10:52:41,ACC_1000332,PT GEMILANG ABADI,BRI,ACC_1000288,PT LESTARI MANDIRI,CIMB Niaga,3579002786,placement,Setoran modal,100,True,False,REF920734,BNI,False,background
TXN_000050,2023-08-11,07:40:45,ACC_1000398,CV PRIMA SEJAHTERA,BTN,ACC_1000317,CV KARYA UTAMA,BRI,324143542,structuring,Transfer modal kerja,94,True,False,REF830045,BRI,False,background
