transaction_id,transaction_date,transaction_time,sender_account_id,sender_company,sender_bank,receiver_account_id,receiver_company,receiver_bank,amount_idr,transaction_type,transaction_purpose,risk_score,is_flagged,is_cross_border,reference_number,processing_bank,case_related,scenario
TXN_000001,2025-03-11,03:19:36,ACC_1000092,PT. SURYA MAS CITRA PERKASA,OCBC NISP,ACC_1000010,PT. Imperindo Hasta Eka,Danamon,380535670,structuring,Transfer modal kerja,98,True,False,REF913206,Mandiri,False,background
TXN_000002,2023-06-01,00:37:22,ACC_1000335,PT GEMILANG ABADI,OCBC NISP,ACC_1000129,PT. RIMBA SAWIT UTAMA PLANINDO,Mandiri,3167868815,integration,Investasi bisnis,87,True,False,REF257027,BNI,False,background
TXN_000003,2024-11-04,16:54:11,ACC_1000337,PT HARAPAN BARU,BRI,ACC_1000172,PT. Surya Mukti Perkasa,Mandiri,30955672,normal_business,Transfer bisnis normal,47,False,False,REF149843,BRI,False,background
TXN_000004,2025-04-24,04:50:28,ACC_1000258,PT. PERKEBUNAN I (SEBULUSSALAM),BNI,ACC_1000428,UD MAJU BERSAMA,OCBC NISP,2078747518,normal_business,Transfer bisnis normal,37,False,False,REF898208,BRI,False,background
TXN_000005,2024-04-14,02:49:34,ACC_1000083,PT. WANA SAWIT SUBUR LESTARI,Danamon,ACC_1000230,PT. KODECO MAMBERAMO,BTN,15945894,normal_business,Transfer bisnis normal,25,False,False,REF207225,BNI,False,background
TXN_000006,2025-03-27,21:39:22,ACC_1000322,CV KARYA UTAMA,CIMB Niaga,ACC_1000134,PT. BORNEO EKA SAWIT TANGGUH,BCA,24602288,normal_business,Transfer bisnis normal,23,False,False,REF507393,BNI,False,background
TXN_000007,2025-03-19,10:40:43,ACC_1000080,PT. AGRO CITY KALTIM,CIMB Niaga,ACC_1000167,PT. Kaliau Mas Perkasa,BCA,6852365500,placement,Setoran modal,100,True,False,REF968190,BCA,False,background
TXN_000008,2024-06-27,14:46:52,ACC_1000158,PT. Sawita Karya Manunggal (SKM),BCA,ACC_1000233,PT. KODECO MAMBERAMO,Mandiri,67975310,normal_business,Transfer bisnis normal,35,False,False,REF936024,Mandiri,False,background
TXN_000009,2024-10-01,19:19:09,ACC_1000453,PT CAHAYA MANDIRI,Maybank,ACC_1000001,PT. Sena Bangun Aneka Pertiwi,OCBC NISP,66076189,normal_business,Transfer bisnis normal,29,False,False,REF636916,Mandiri,False,background
TXN_000010,2025-03-28,16:59:12,ACC_1000397,CV PRIMA SEJAHTERA,Maybank,ACC_1000318,CV KARYA UTAMA,BRI,37525480,normal_business,Transfer bisnis normal,40,False,False,REF319486,BCA,False,background
TXN_000011,2025-05-13,11:46:19,ACC_1000147,PT. Damit Mitra Sekawan,Permata,ACC_1000392,PT HARAPAN BARU,OCBC NISP,1053359068,layering,Transfer antar perusahaan,100,True,False,REF860629,Mandiri,False,background
TXN_000012,2024-05-08,18:09:34,ACC_1000415,CV KARYA UTAMA,Permata,ACC_1000097,PT. BERKAH ALAM FAJAR MAS,CIMB Niaga,42715854,normal_business,Transfer bisnis normal,34,False,False,REF742998,BNI,False,background
TXN_000013,2023-10-20,12:47:22,ACC_1000292,PT LESTARI MANDIRI,BNI,ACC_1000041,PT. Uni Andalan Utama,Permata,353748103,structuring,Transfer modal kerja,92,True,False,REF195917,Mandiri,False,background
TXN_000014,2025-03-20,22:18:11,ACC_1000445,PT HARAPAN BARU,OCBC NISP,ACC_1000111,PT. PULANG PISAU PERDANA,BCA,4863297402,placement,Setoran modal,100,True,False,REF286873,BNI,False,background
TXN_000015,2025-05-10,20:57:19,ACC_1000163,PT. Natuna Inti Makmur,Maybank,ACC_1000446,PT HARAPAN BARU,OCBC NISP,14701652,normal_business,Transfer bisnis normal,46,False,False,REF524104,Mandiri,False,background
TXN_000016,2025-01-07,01:44:26,ACC_1000081,PT. AGRO CITY KALTIM,Maybank,ACC_1000193,PT. Jalin Vaneo,BRI,4865285682,integration,Investasi bisnis,98,True,False,REF279537,Mandiri,False,background
